USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         691  0.0  0.0      0     0 ?        S    22:34   0:00 [irq/59-vmw_vmci]
root         739  0.0  0.0      0     0 ?        I<   22:34   0:00 [kworker/R-cryptd]
systemd+     949  0.0  0.0  17556  2708 ?        Ss   22:34   0:00 /usr/lib/systemd/systemd-oomd
systemd+     954  0.0  0.1  21576  4288 ?        Ss   22:34   0:00 /usr/lib/systemd/systemd-resolved
systemd+     956  0.0  0.0  91044  2580 ?        Ssl  22:34   0:00 /usr/lib/systemd/systemd-timesyncd
root         959  0.4  0.0  11344  1400 ?        S<sl 22:34   0:06 /sbin/auditd
root        1055  0.0  0.0      0     0 ?        S    22:34   0:00 [audit_prune_tree]
root        1062  0.0  0.0  56064   384 ?        Ss   22:34   0:00 /usr/bin/VGAuthService
root        1070  0.2  0.0 244748  3472 ?        Ssl  22:34   0:04 /usr/bin/vmtoolsd
avahi       1358  0.0  0.0   8668  1028 ?        Ss   22:34   0:00 avahi-daemon: running [research-system-1.local]
message+    1359  0.0  0.0  12184  2252 ?        Ss   22:34   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1362  0.0  0.0 439076   216 ?        Ssl  22:34   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1368  0.0  0.0 384540   240 ?        Ssl  22:34   0:00 /usr/lib/polkit-1/polkitd --no-debug
root        1370  0.0  0.0 313376   352 ?        Ssl  22:34   0:00 /usr/libexec/power-profiles-daemon
root        1378  0.2  0.4 1997340 17648 ?       Ssl  22:34   0:04 /usr/lib/snapd/snapd
root        1379  0.0  0.0 313292   804 ?        Ssl  22:34   0:00 /usr/libexec/accounts-daemon
root        1380  0.0  0.0   9424  1512 ?        Ss   22:34   0:00 /usr/sbin/cron -f -P
root        1382  0.0  0.0 309720   288 ?        Ssl  22:34   0:00 /usr/libexec/switcheroo-control
root        1390  0.0  0.0  18124  3000 ?        Ss   22:34   0:00 /usr/lib/systemd/systemd-logind
root        1396  0.0  0.0 469484   428 ?        Ssl  22:34   0:00 /usr/libexec/udisks2/udisksd
avahi       1430  0.0  0.0   8480   400 ?        S    22:34   0:00 avahi-daemon: chroot helper
root        1431  0.0  0.1 336368  5800 ?        Ssl  22:34   0:00 /usr/sbin/NetworkManager --no-daemon
root        1433  0.0  0.0  17380   564 ?        Ss   22:34   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1435  0.0  0.0 222564  1632 ?        Ssl  22:34   0:00 /usr/sbin/rsyslogd -n -iNONE
root        1489  0.0  0.0 392088   272 ?        Ssl  22:34   0:00 /usr/sbin/ModemManager
root        1584  0.0  0.0  38204   324 ?        Ss   22:34   0:00 /usr/sbin/cupsd -l
root        1592  0.0  0.0 112260   396 ?        Ssl  22:34   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1598  0.0  0.0  12020   288 ?        Ss   22:34   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1605  0.0  0.0 314820   244 ?        Ssl  22:34   0:00 /usr/sbin/gdm3
cups-br+    1614  0.0  0.0 268476   180 ?        Ssl  22:34   0:00 /usr/sbin/cups-browsed
ollama      1620  0.0  0.2 1854436 8100 ?        Ssl  22:34   0:00 /usr/local/bin/ollama serve
kernoops    1621  0.0  0.0  12744  1104 ?        Ss   22:34   0:00 /usr/sbin/kerneloops --test
kernoops    1624  0.0  0.0  12744  1304 ?        Ss   22:34   0:00 /usr/sbin/kerneloops
root        1631  0.0  0.0      0     0 ?        S    22:34   0:00 [psimon]
rtkit       1694  0.0  0.0  22940   252 ?        SNsl 22:34   0:00 /usr/libexec/rtkit-daemon
